id,username,created_at,lng,lat,text
1516969006674153475,PatrickinNorway,Thu Apr 21 02:36:09 +0000 2022,-71.052126,42.405331000000004,American #aquavit 🇺🇸. Not bad. Not bad at all. @SPDistillery https://t.co/kRhBmHAk4h
1516969007882067971,StevenWillcox2,Thu Apr 21 02:36:10 +0000 2022,-87.3221685,36.5509835,@jigglychaos @MetaForth_ @punishedmother @bilbius If someone calls you a predator that is absolutely calling you a… https://t.co/TwfnYPU7OK
1516969009723367424,DavidDiFranco,Thu Apr 21 02:36:10 +0000 2022,-76.20050162,40.02492255,Incredible performance tonight by @therealgarymullen and crew. It was truly an amazing tribute to #Queen. 👏🏻 @ Amer… https://t.co/f46gavsbq5
1516969010159665152,knomiego,Thu Apr 21 02:36:10 +0000 2022,-83.1738665,32.6782075,@OfficialGeeno @rynx Listen to Sick Freestyle by Keto No Miego on #SoundCloudhttps://t.co/gLIjG7PCNd
1516969010285494277,__sundaze,Thu Apr 21 02:36:10 +0000 2022,-74.5422595,40.443207,My kitty 🥺
1516969010872696833,i_EaT_PIE,Thu Apr 21 02:36:10 +0000 2022,-95.6316895,29.603464000000002,I messaged you the link
1516969010667134980,kdander222,Thu Apr 21 02:36:10 +0000 2022,-83.1738665,32.6782075,@PalmerReportGOP PLATFORM 2022MAIN POINT. # KEEP'EM STUPID https://t.co/KtAgCurzX2
1516969011656986630,dylmar72,Thu Apr 21 02:36:10 +0000 2022,-73.993546,40.2943565,Jaylen Brown is the only correct answer.
1516969012911087617,RodTaggart,Thu Apr 21 02:36:11 +0000 2022,-84.433106,33.7671945,Maxey is a star.
1516969013158367232,santiagoAM115,Thu Apr 21 02:36:11 +0000 2022,-118.1922505,34.851658,@Shapiro_WTHS @RavesiWeinstein @TaraMartinEDU @Mr_EHang @Scandela9 @Tara_Desiderio @ChrisQuinn64 @NowakRo… https://t.co/3zdj6GlPxl
1516969013015891969,marioagomez_1,Thu Apr 21 02:36:11 +0000 2022,-77.60468399999999,41.1179365,Good win. Let’s Sweep Tomorrow #RepBX https://t.co/j1QOhwb6IY
1516969013708038145,kenduhllm,Thu Apr 21 02:36:11 +0000 2022,-91.0907995,30.4591,"dating a pisces, im ready to share my trauma"
1516969014056001536,Brett_uchiha,Thu Apr 21 02:36:11 +0000 2022,-118.4119065,34.0207895,I ain’t had crip legs in so long i forgot what the shit  taste like .
